nr,sex,location,introduction,age,tl
9,1,Saarnaki,2016,2,121.86535191621998
11,1,Saarnaki,2016,2,137.7769983012022
15,1,Saarnaki,2016,2,133.33458260696764
17,1,Saarnaki,2016,2,117.59885561874152
21,1,Saarnaki,2016,2,113.77750142008294
31,1,Saarnaki,2016,2,166.13565575576453
32,1,Saarnaki,2016,2,129.05082169225147
33,1,Saarnaki,2016,2,132.8148298019155
39,1,Saarnaki,2016,2,148.75548591738593
46,1,Saarnaki,2016,2,129.15117835296135
47,1,Saarnaki,2016,2,133.21514467458064
49,1,Saarnaki,2016,2,124.35148261203106
51,1,Saarnaki,2016,2,114.84727621094429
52,1,Saarnaki,2016,2,118.9726320670988
53,1,Saarnaki,2016,2,128.69626531779986
54,1,Saarnaki,2016,2,113.16486930347024
57,1,Saarnaki,2016,2,123.3300487362349
3,3,Saarnaki,2016,2,92.20753524393645
28,3,Saarnaki,2016,2,154.63336190527136
30,3,Saarnaki,2016,2,148.54311335674814
59,1,Saarnaki,2016,2,145.35299415491076
49,3,Tallinna laht,2005,2,30.727691277673525
60,3,Tallinna laht,2005,2,13.875295045338394
15,0,Tallinna laht,2005,2,143.28152339659908
29,0,Tallinna laht,2005,2,83.42794484548207
59,3,Tallinna laht,2005,2,51.93845897431227
36,0,Tallinna laht,2005,2,59.070665136538494
6,1,Tallinna laht,2005,2,92.88997163578968
26,1,Tallinna laht,2005,2,91.53882353962693
